"Special Price","Special Price"
"Regular Price","Regular Price"
"Buy %1 for: ","Buy %1 for: "
"Click for price","Click for price"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
"Hide Price","Hide Price"
General,General
Status,Status
Enabled,Enabled
